SC_CODE,SC_NAME,OPEN,HIGH,LOW,CLOSE
500002,ABB LTD.    ,1435.6,1442.0,1425.7,1433.85
500003,AEGIS LOGIS ,327.6,342.1,327.6,332.45
500008,AMAR RAJA BA,792.0,796.0,785.15,791.65
500009,A.SARABHAI  ,47.75,49.5,47.45,48.3
500010,HDFC        ,2465.0,2524.5,2458.05,2515.7
500012,ANDHRA PETRO,74.25,76.45,74.25,74.9
500013,ANSAL INFRAS,6.21,6.21,5.78,5.78
500014,UTIQUE      ,2.45,2.57,2.45,2.57
500016,ARUNAHTEL   ,9.52,9.52,9.52,9.52
500020,BOM DYEING  ,78.5,79.2,76.7,77.05
500023,ASIANHOTNR  ,70.0,71.45,69.0,71.0
500027,ATUL LTD.   ,8497.0,8593.75,8440.0,8572.05
500028,ATV PROJECTS,5.88,6.17,5.88,6.09
500031,BAJAJ ELECT.,1133.7,1183.8,1125.05,1132.95
500032,BAJAJHIND   ,11.05,11.3,10.88,10.88
500033,FORCE MOTR  ,1248.85,1290.25,1243.2,1253.9
500034,BAJFINANCE  ,5640.0,5695.0,5589.05,5630.8
500038,BALRAM.CHINI,308.1,311.5,302.25,302.95
500039,BANCO PROD. ,150.9,167.4,150.9,165.25
500040,CENTURY TEXT,505.15,510.05,497.4,501.3
500041,BANNARI AMAN,1826.65,1847.95,1826.65,1837.7
500042,BASF INDIA  ,2487.25,2488.55,2430.35,2442.35
500043,BATA INDIA  ,1479.0,1503.35,1465.7,1484.45
500048,BEML LTD    ,1325.0,1357.0,1306.1,1314.8
500049,BHARAT ELECT,158.4,158.95,156.3,157.55
500052,BHANSALI ENG,165.0,165.9,160.7,161.2
500055,TATASTLBSL  ,99.15,100.8,98.3,98.7
500058,BIHAR SPONGE,5.51,5.51,5.51,5.51
500060,BIRLACABLE  ,79.0,79.1,76.0,76.4
500067,BLUE STAR   ,803.35,819.0,803.35,807.75
500068,DISA INDIA  ,4678.95,4680.0,4400.0,4493.55
500069,BNK CAPITAL ,191.1,194.9,191.1,193.85
500074,BPL LTD.    ,35.7,37.45,35.5,37.45
500078,OAL         ,795.9,808.35,788.0,793.1
500083,CENTURY EXT ,6.61,6.66,6.35,6.36
500084,CESC LTD.   ,689.0,701.35,680.05,689.45
500085,CHAMBAL FERT,295.0,295.8,283.4,286.65
500086,EXIDE IND.  ,186.8,188.55,186.6,187.1
500087,CIPLA LTD.  ,931.55,935.0,922.05,926.85
500089,DIC INDIA   ,397.95,404.0,395.1,395.1
500092,CRISIL LTD  ,1911.2,1917.3,1855.3,1902.35
500093,CGPOWER     ,86.7,90.0,86.7,88.15
500096,DABUR (I)   ,539.8,540.0,535.0,536.6
500097,DALMIASUG   ,340.0,342.0,328.2,332.25
500101,ARVIND Ltd  ,79.5,79.65,77.45,77.9
500102,BALARPUR IND,1.24,1.24,1.17,1.21
500103,BHEL        ,73.5,73.75,71.75,72.2
500104,HIND.PETRO  ,282.0,288.15,274.4,276.15
500106,IFCI LTD    ,11.1,11.49,11.1,11.28
500108,MAHA.TELE   ,18.1,18.1,17.55,17.65
500109,MRPL        ,51.2,53.15,49.35,51.65
500110,CHENNAI PET.,122.0,131.1,121.7,129.1
500111,REL.CAP.    ,11.34,11.59,11.15,11.33
500112,STATE BANK  ,390.45,404.4,378.1,401.1
500113,STEEL AUTH. ,121.75,124.8,121.4,122.05
500114,TITAN       ,1553.0,1553.6,1535.25,1539.15
500116,IDBI BANK L ,38.85,39.2,38.55,38.75
500117,DCW LTD.    ,39.5,39.6,36.0,36.85
500119,DHAMPUR SUGA,331.0,334.8,321.6,323.4
500120,DIAMINES&CHM,302.95,302.95,291.25,296.4
500123,ELANTAS     ,3731.4,3768.7,3655.6,3710.15
500124,DR.REDDY'S  ,5265.0,5268.55,5195.5,5216.75
500125,E.I.D.PAR   ,402.3,421.2,402.3,417.15
500126,PGHL        ,5845.0,5898.0,5800.0,5873.85
500128,ELEC.CASTING,32.2,32.8,31.25,32.5
500133,ESAB INDIA  ,1893.3,1925.05,1852.0,1887.15
500135,EPL         ,248.0,254.8,242.65,245.3
