SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1363.65,1384.00,1363.65,1381.40,1380.00,1370.95,581,5401,7450349.00,
500003,AEGIS LOGIS ,A ,Q,334.90,334.90,321.65,325.50,328.50,326.85,598,10228,3339983.00,
500008,AMAR RAJA BA,A ,Q,771.00,799.20,770.30,780.70,780.70,769.65,4785,107987,84684230.00,
500009,A.SARABHAI  ,X ,Q,25.00,27.45,24.75,26.70,26.70,25.60,818,331338,8672032.00,
500010,HDFC        ,A ,Q,2397.90,2435.00,2381.45,2430.55,2430.55,2378.25,7559,90010,217319828.00,
500012,ANDHRA PETRO,X ,Q,68.35,70.80,67.50,67.80,67.65,68.15,976,245656,16929650.00,
500013,ANSAL INFRAS,B ,Q,5.66,5.66,5.47,5.49,5.47,5.75,65,36655,201415.00,
500014,UTIQUE      ,X ,Q,2.32,2.32,2.21,2.32,2.32,2.32,16,8291,18492.00,
500020,BOM DYEING  ,A ,Q,67.95,72.90,67.25,71.10,71.10,67.15,5094,716300,50824515.00,
500023,ASIANHOTNR  ,B ,Q,71.50,71.50,62.55,64.30,64.30,65.85,17,524,33919.00,
500027,ATUL LTD.   ,A ,Q,8323.00,8505.90,8271.95,8439.70,8462.00,8290.25,454,1043,8779185.00,
500028,ATV PROJECTS,XT,Q,4.21,4.59,4.21,4.51,4.51,4.41,33,7040,31165.00,
500031,BAJAJ ELECT.,A ,Q,1177.00,1177.00,1098.20,1117.25,1117.25,1150.80,2071,19655,22071924.00,
500032,BAJAJHIND   ,A ,Q,9.20,9.36,8.66,8.94,8.94,9.07,3888,2727566,24272185.00,
500033,FORCE MOTR  ,A ,Q,1118.60,1210.00,1110.00,1183.70,1183.70,1109.40,2158,13686,16022872.00,
500034,BAJFINANCE  ,A ,Q,5568.95,5619.25,5474.45,5529.10,5529.10,5517.00,10885,99748,552170711.00,
500038,BALRAM.CHINI,A ,Q,321.55,322.00,303.50,311.05,311.05,318.15,2524,99440,30830444.00,
500039,BANCO PROD. ,B ,Q,157.35,157.90,153.35,154.40,154.40,154.80,1052,14306,2215058.00,
500040,CENTURY TEXT,A ,Q,478.00,482.90,473.35,477.15,477.15,472.55,1719,95315,45480661.00,
500041,BANNARI AMAN,A ,Q,1976.70,1988.95,1881.75,1956.45,1970.00,1931.65,117,385,748384.00,
500042,BASF INDIA  ,A ,Q,2343.30,2343.30,2263.05,2293.55,2280.00,2317.00,632,4103,9421288.00,
500043,BATA INDIA  ,A ,Q,1355.00,1370.05,1348.25,1353.15,1362.00,1359.55,627,11142,15143205.00,
500048,BEML LTD    ,A ,Q,1185.20,1202.00,1182.65,1190.00,1186.15,1184.55,399,4951,5892340.00,
500049,BHARAT ELECT,A ,Q,139.80,143.05,137.35,142.40,142.40,137.90,10125,1518409,212793081.00,
500052,BHANSALI ENG,A ,Q,166.00,171.90,165.15,167.70,167.05,164.15,4345,439379,74286907.00,
500055,TATASTLBSL  ,B ,Q,91.90,95.85,84.25,87.15,87.15,93.60,19459,3007650,269346652.00,
500058,BIHAR SPONGE,XT,Q,4.74,4.74,4.74,4.74,4.74,4.65,7,5150,24411.00,
500060,BIRLACABLE  ,B ,Q,60.50,63.05,59.60,62.10,62.05,59.35,533,15267,936943.00,
500067,BLUE STAR   ,A ,Q,841.80,841.90,819.05,828.50,834.20,836.30,718,6044,5034975.00,
500068,DISA INDIA  ,X ,Q,4500.00,4590.00,4450.00,4505.00,4500.00,4559.65,36,104,466391.00,
500069,BNK CAPITAL ,XT,Q,188.20,191.50,188.20,190.50,190.50,189.35,39,7526,1429003.00,
500074,BPL LTD.    ,B ,Q,28.35,30.85,28.10,30.85,30.85,29.40,329,70018,2064928.00,
500078,OAL         ,B ,Q,900.00,930.50,890.00,896.35,895.00,895.20,214,2366,2149760.00,
500083,CENTURY EXT ,B ,Q,5.86,5.86,5.26,5.41,5.40,5.79,136,137939,749146.00,
500084,CESC LTD.   ,A ,Q,634.60,635.00,619.15,626.15,620.00,632.85,644,178010,112114881.00,
500085,CHAMBAL FERT,A ,Q,216.00,226.50,216.00,221.75,221.75,216.70,2472,139344,30820662.00,
500086,EXIDE IND.  ,A ,Q,182.50,185.40,181.60,182.85,182.85,182.75,1524,130726,24005943.00,
500087,CIPLA LTD.  ,A ,Q,910.00,916.50,881.00,883.80,883.80,888.70,24799,922719,828400699.00,
500089,DIC INDIA   ,B ,Q,385.00,389.60,385.00,389.60,389.60,385.00,14,311,120358.00,
500092,CRISIL LTD  ,A ,Q,1892.05,1899.95,1865.00,1884.60,1875.00,1892.10,211,1011,1914149.00,
500093,CGPOWER     ,B ,Q,84.25,84.45,80.30,84.45,84.45,80.45,5550,1792298,149917305.00,
500096,DABUR (I)   ,A ,Q,540.50,547.15,539.00,545.45,545.45,541.20,3187,94410,51261578.00,
500097,DALMIASUG   ,A ,Q,284.05,288.95,269.50,278.20,282.10,283.65,932,27341,7542326.00,
500101,ARVIND Ltd  ,A ,Q,72.90,74.65,71.30,73.60,73.60,72.90,1277,150649,11035111.00,
500102,BALARPUR IND,Z ,Q,1.14,1.14,1.07,1.10,1.10,1.12,299,574246,634166.00,
500103,BHEL        ,A ,Q,59.30,59.30,57.00,58.00,58.00,56.60,22901,10316883,599769657.00,
500104,HIND.PETRO  ,A ,Q,245.80,249.65,244.25,245.65,245.65,244.90,6338,264605,65340484.00,
500106,IFCI LTD    ,A ,Q,11.00,11.22,10.80,10.96,10.92,10.97,1037,287038,3157543.00,
500108,MAHA.TELE   ,B ,Q,17.15,17.45,16.55,17.05,17.05,16.80,1371,362609,6198340.00,
500109,MRPL        ,A ,Q,44.45,44.55,43.20,44.10,44.30,43.60,986,218526,9584455.00,
500110,CHENNAI PET.,A ,Q,112.80,112.80,107.15,108.80,108.80,111.50,898,131059,14194043.00,
500111,REL.CAP.    ,B ,Q,10.69,11.00,10.41,10.88,10.88,10.54,788,255407,2719153.00,
500112,STATE BANK  ,A ,Q,357.85,359.40,350.50,355.50,355.50,355.35,18049,2161771,766015634.00,
500113,STEEL AUTH. ,A ,Q,131.30,135.00,129.50,133.65,133.65,130.20,18304,6024874,796540554.00,
500114,TITAN       ,A ,Q,1431.60,1448.70,1431.60,1443.55,1443.55,1427.65,2062,41643,59968615.00,
500116,IDBI BANK L ,A ,Q,41.90,43.50,40.15,40.50,40.50,37.95,23513,10159112,418803396.00,
500117,DCW LTD.    ,B ,Q,35.90,36.65,35.15,35.45,35.45,35.55,1065,300277,10785645.00,
500119,DHAMPUR SUGA,A ,Q,268.30,269.30,251.45,264.80,264.80,265.35,1857,93563,24212956.00,
500120,DIAMINES&CHM,X ,Q,330.00,338.00,326.00,329.65,329.05,329.00,341,12470,4106789.00,
500123,ELANTAS     ,A ,Q,3749.00,3749.00,3600.60,3631.15,3636.00,3698.75,181,1225,4519029.00,
500124,DR.REDDY'S  ,A ,Q,5160.60,5250.80,5132.00,5165.65,5165.65,5160.60,4242,40139,207997359.00,
500125,E.I.D.PAR   ,A ,Q,421.70,428.75,399.45,420.35,417.25,421.55,2118,66962,27399524.00,
500126,PGHL        ,A ,Q,6398.00,6398.00,6231.00,6270.50,6270.50,6312.75,323,698,4404392.00,
